Episode: 0/500, Score: 23.0, Epsilon: 1.0
Episode: 55/500, Score: 12.0, Epsilon: 0.76
Episode: 56/500, Score: 15.0, Epsilon: 0.76
Episode: 57/500, Score: 52.0, Epsilon: 0.75
Episode: 58/500, Score: 17.0, Epsilon: 0.75
Episode: 59/500, Score: 72.0, Epsilon: 0.74
Episode: 60/500, Score: 14.0, Epsilon: 0.74
Episode: 61/500, Score: 17.0, Epsilon: 0.74
Episode: 62/500, Score: 24.0, Epsilon: 0.73
Episode: 63/500, Score: 41.0, Epsilon: 0.73
Episode: 64/500, Score: 25.0, Epsilon: 0.73
Episode: 65/500, Score: 17.0, Epsilon: 0.72
Episode: 66/500, Score: 20.0, Epsilon: 0.72
Episode: 67/500, Score: 47.0, Epsilon: 0.71
Episode: 68/500, Score: 36.0, Epsilon: 0.71
Episode: 69/500, Score: 31.0, Epsilon: 0.71
Episode: 70/500, Score: 99.0, Epsilon: 0.7
Episode: 71/500, Score: 84.0, Epsilon: 0.7
Episode: 72/500, Score: 25.0, Epsilon: 0.7
Episode: 73/500, Score: 82.0, Epsilon: 0.69
Episode: 74/500, Score: 67.0, Epsilon: 0.69
Episode: 75/500, Score: 21.0, Epsilon: 0.69
Episode: 76/500, Score: 68.0, Epsilon: 0.68
Episode: 77/500, Score: 49.0, Epsilon: 0.68
Episode: 78/500, Score: 127.0, Epsilon: 0.68
Episode: 79/500, Score: 84.0, Epsilon: 0.67
Episode: 80/500, Score: 99.0, Epsilon: 0.67
Episode: 81/500, Score: 15.0, Epsilon: 0.67
Episode: 82/500, Score: 276.0, Epsilon: 0.66
Episode: 83/500, Score: 28.0, Epsilon: 0.66
Episode: 84/500, Score: 160.0, Epsilon: 0.66
Episode: 85/500, Score: 32.0, Epsilon: 0.65
Episode: 86/500, Score: 29.0, Epsilon: 0.65
Episode: 87/500, Score: 36.0, Epsilon: 0.65
Episode: 88/500, Score: 54.0, Epsilon: 0.64
Episode: 89/500, Score: 47.0, Epsilon: 0.64
Episode: 90/500, Score: 51.0, Epsilon: 0.64
Episode: 91/500, Score: 30.0, Epsilon: 0.63
Episode: 92/500, Score: 219.0, Epsilon: 0.63
Episode: 93/500, Score: 157.0, Epsilon: 0.63
Episode: 94/500, Score: 10.0, Epsilon: 0.62
Episode: 95/500, Score: 111.0, Epsilon: 0.62
Episode: 96/500, Score: 12.0, Epsilon: 0.62
Episode: 97/500, Score: 71.0, Epsilon: 0.61
Episode: 98/500, Score: 39.0, Epsilon: 0.61
Episode: 99/500, Score: 38.0, Epsilon: 0.61
Episode: 100/500, Score: 91.0, Epsilon: 0.61
Episode: 101/500, Score: 126.0, Epsilon: 0.6
Episode: 102/500, Score: 120.0, Epsilon: 0.6
Episode: 103/500, Score: 38.0, Epsilon: 0.6
Episode: 104/500, Score: 196.0, Epsilon: 0.59
Episode: 105/500, Score: 94.0, Epsilon: 0.59
Episode: 106/500, Score: 38.0, Epsilon: 0.59
Episode: 107/500, Score: 20.0, Epsilon: 0.58
Episode: 108/500, Score: 172.0, Epsilon: 0.58
Episode: 109/500, Score: 169.0, Epsilon: 0.58
Episode: 110/500, Score: 57.0, Epsilon: 0.58
Episode: 111/500, Score: 50.0, Epsilon: 0.57
Episode: 112/500, Score: 39.0, Epsilon: 0.57
Episode: 113/500, Score: 205.0, Epsilon: 0.57
Episode: 114/500, Score: 107.0, Epsilon: 0.56
Episode: 115/500, Score: 36.0, Epsilon: 0.56
Episode: 116/500, Score: 257.0, Epsilon: 0.56
Episode: 117/500, Score: 66.0, Epsilon: 0.56
Episode: 118/500, Score: 24.0, Epsilon: 0.55
Episode: 119/500, Score: 180.0, Epsilon: 0.55
Episode: 120/500, Score: 213.0, Epsilon: 0.55
Episode: 121/500, Score: 364.0, Epsilon: 0.55
Episode: 122/500, Score: 75.0, Epsilon: 0.54
Episode: 123/500, Score: 276.0, Epsilon: 0.54
Episode: 124/500, Score: 211.0, Epsilon: 0.54
Episode: 125/500, Score: 211.0, Epsilon: 0.53
Episode: 126/500, Score: 12.0, Epsilon: 0.53
Episode: 127/500, Score: 34.0, Epsilon: 0.53
Episode: 128/500, Score: 36.0, Epsilon: 0.53
Episode: 129/500, Score: 223.0, Epsilon: 0.52
Episode: 130/500, Score: 105.0, Epsilon: 0.52
Episode: 131/500, Score: 157.0, Epsilon: 0.52
Episode: 132/500, Score: 82.0, Epsilon: 0.52
Episode: 133/500, Score: 188.0, Epsilon: 0.51
Episode: 134/500, Score: 21.0, Epsilon: 0.51
Episode: 135/500, Score: 24.0, Epsilon: 0.51
Episode: 136/500, Score: 104.0, Epsilon: 0.51
Episode: 137/500, Score: 75.0, Epsilon: 0.5
Episode: 138/500, Score: 88.0, Epsilon: 0.5
Episode: 139/500, Score: 147.0, Epsilon: 0.5
Episode: 140/500, Score: 198.0, Epsilon: 0.5
Episode: 141/500, Score: 14.0, Epsilon: 0.49
Episode: 142/500, Score: 98.0, Epsilon: 0.49
Episode: 143/500, Score: 13.0, Epsilon: 0.49
Episode: 144/500, Score: 54.0, Epsilon: 0.49
Episode: 145/500, Score: 27.0, Epsilon: 0.48
Episode: 146/500, Score: 58.0, Epsilon: 0.48
Episode: 147/500, Score: 161.0, Epsilon: 0.48
Episode: 148/500, Score: 311.0, Epsilon: 0.48
Episode: 149/500, Score: 88.0, Epsilon: 0.47
Episode: 150/500, Score: 99.0, Epsilon: 0.47
Episode: 151/500, Score: 80.0, Epsilon: 0.47
Episode: 152/500, Score: 20.0, Epsilon: 0.47
Episode: 153/500, Score: 69.0, Epsilon: 0.46
Episode: 154/500, Score: 42.0, Epsilon: 0.46
Episode: 155/500, Score: 25.0, Epsilon: 0.46
Episode: 156/500, Score: 218.0, Epsilon: 0.46
Episode: 157/500, Score: 111.0, Epsilon: 0.46
Episode: 158/500, Score: 291.0, Epsilon: 0.45
Episode: 159/500, Score: 178.0, Epsilon: 0.45
Episode: 160/500, Score: 200.0, Epsilon: 0.45
Episode: 161/500, Score: 195.0, Epsilon: 0.45
Episode: 162/500, Score: 177.0, Epsilon: 0.44
Episode: 163/500, Score: 273.0, Epsilon: 0.44
Episode: 164/500, Score: 247.0, Epsilon: 0.44
Episode: 165/500, Score: 31.0, Epsilon: 0.44
Episode: 166/500, Score: 48.0, Epsilon: 0.44
Episode: 167/500, Score: 111.0, Epsilon: 0.43
Episode: 168/500, Score: 111.0, Epsilon: 0.43
Episode: 169/500, Score: 62.0, Epsilon: 0.43
Episode: 170/500, Score: 132.0, Epsilon: 0.43
Episode: 171/500, Score: 54.0, Epsilon: 0.42
Episode: 172/500, Score: 131.0, Epsilon: 0.42
Episode: 173/500, Score: 81.0, Epsilon: 0.42
Episode: 174/500, Score: 294.0, Epsilon: 0.42
Episode: 175/500, Score: 127.0, Epsilon: 0.42
Episode: 176/500, Score: 22.0, Epsilon: 0.41
Episode: 177/500, Score: 272.0, Epsilon: 0.41
Episode: 178/500, Score: 171.0, Epsilon: 0.41
Episode: 179/500, Score: 43.0, Epsilon: 0.41
Episode: 180/500, Score: 208.0, Epsilon: 0.41
Episode: 181/500, Score: 165.0, Epsilon: 0.4
Episode: 182/500, Score: 98.0, Epsilon: 0.4
Episode: 183/500, Score: 44.0, Epsilon: 0.4
Episode: 184/500, Score: 353.0, Epsilon: 0.4
Episode: 185/500, Score: 253.0, Epsilon: 0.4
Episode: 186/500, Score: 126.0, Epsilon: 0.39
Episode: 187/500, Score: 88.0, Epsilon: 0.39
Episode: 188/500, Score: 115.0, Epsilon: 0.39
Episode: 189/500, Score: 194.0, Epsilon: 0.39
Episode: 190/500, Score: 14.0, Epsilon: 0.39
Episode: 191/500, Score: 13.0, Epsilon: 0.38
Episode: 192/500, Score: 161.0, Epsilon: 0.38
Episode: 193/500, Score: 46.0, Epsilon: 0.38
Episode: 194/500, Score: 193.0, Epsilon: 0.38
Episode: 195/500, Score: 185.0, Epsilon: 0.38
Episode: 196/500, Score: 155.0, Epsilon: 0.37
Episode: 197/500, Score: 173.0, Epsilon: 0.37
Episode: 198/500, Score: 31.0, Epsilon: 0.37
Episode: 199/500, Score: 90.0, Epsilon: 0.37
Episode: 200/500, Score: 207.0, Epsilon: 0.37
Episode: 201/500, Score: 152.0, Epsilon: 0.37
Episode: 202/500, Score: 77.0, Epsilon: 0.36
Episode: 203/500, Score: 249.0, Epsilon: 0.36
Episode: 204/500, Score: 86.0, Epsilon: 0.36
Episode: 205/500, Score: 135.0, Epsilon: 0.36
Episode: 206/500, Score: 191.0, Epsilon: 0.36
Episode: 207/500, Score: 92.0, Epsilon: 0.35
Episode: 208/500, Score: 12.0, Epsilon: 0.35
Episode: 209/500, Score: 175.0, Epsilon: 0.35
Episode: 210/500, Score: 35.0, Epsilon: 0.35
Episode: 211/500, Score: 253.0, Epsilon: 0.35
Episode: 212/500, Score: 178.0, Epsilon: 0.35
Episode: 213/500, Score: 275.0, Epsilon: 0.34
Episode: 214/500, Score: 101.0, Epsilon: 0.34
Episode: 215/500, Score: 242.0, Epsilon: 0.34
Episode: 216/500, Score: 448.0, Epsilon: 0.34
Episode: 217/500, Score: 404.0, Epsilon: 0.34
Episode: 218/500, Score: 225.0, Epsilon: 0.34
Episode: 219/500, Score: 274.0, Epsilon: 0.33
Episode: 220/500, Score: 195.0, Epsilon: 0.33
Episode: 221/500, Score: 182.0, Epsilon: 0.33
Episode: 222/500, Score: 141.0, Epsilon: 0.33
Episode: 223/500, Score: 149.0, Epsilon: 0.33
Episode: 224/500, Score: 167.0, Epsilon: 0.33
Episode: 225/500, Score: 40.0, Epsilon: 0.32
Episode: 226/500, Score: 14.0, Epsilon: 0.32
Episode: 227/500, Score: 10.0, Epsilon: 0.32
Episode: 228/500, Score: 12.0, Epsilon: 0.32
Episode: 229/500, Score: 11.0, Epsilon: 0.32
Episode: 230/500, Score: 56.0, Epsilon: 0.32
Episode: 231/500, Score: 13.0, Epsilon: 0.31
Episode: 232/500, Score: 157.0, Epsilon: 0.31
Episode: 233/500, Score: 91.0, Epsilon: 0.31
Episode: 234/500, Score: 13.0, Epsilon: 0.31
Episode: 235/500, Score: 15.0, Epsilon: 0.31
Episode: 236/500, Score: 32.0, Epsilon: 0.31
Episode: 237/500, Score: 105.0, Epsilon: 0.3
Episode: 238/500, Score: 174.0, Epsilon: 0.3
Episode: 239/500, Score: 331.0, Epsilon: 0.3
Episode: 240/500, Score: 196.0, Epsilon: 0.3
Episode: 241/500, Score: 138.0, Epsilon: 0.3
Episode: 242/500, Score: 142.0, Epsilon: 0.3
Episode: 243/500, Score: 248.0, Epsilon: 0.3
Episode: 244/500, Score: 232.0, Epsilon: 0.29
Episode: 245/500, Score: 171.0, Epsilon: 0.29
Episode: 246/500, Score: 109.0, Epsilon: 0.29
Episode: 247/500, Score: 97.0, Epsilon: 0.29
Episode: 248/500, Score: 136.0, Epsilon: 0.29
Episode: 249/500, Score: 149.0, Epsilon: 0.29
Episode: 250/500, Score: 224.0, Epsilon: 0.29
Episode: 251/500, Score: 143.0, Epsilon: 0.28
Episode: 252/500, Score: 128.0, Epsilon: 0.28
Episode: 253/500, Score: 110.0, Epsilon: 0.28
Episode: 254/500, Score: 130.0, Epsilon: 0.28
Episode: 255/500, Score: 151.0, Epsilon: 0.28
Episode: 256/500, Score: 244.0, Epsilon: 0.28
Episode: 257/500, Score: 231.0, Epsilon: 0.28
Episode: 258/500, Score: 159.0, Epsilon: 0.27
Episode: 259/500, Score: 197.0, Epsilon: 0.27
Episode: 260/500, Score: 32.0, Epsilon: 0.27
Episode: 261/500, Score: 152.0, Epsilon: 0.27
Episode: 262/500, Score: 39.0, Epsilon: 0.27
Episode: 263/500, Score: 282.0, Epsilon: 0.27
Episode: 264/500, Score: 16.0, Epsilon: 0.27
Episode: 265/500, Score: 130.0, Epsilon: 0.26
Episode: 266/500, Score: 87.0, Epsilon: 0.26
Episode: 267/500, Score: 139.0, Epsilon: 0.26
Episode: 268/500, Score: 130.0, Epsilon: 0.26
Episode: 269/500, Score: 12.0, Epsilon: 0.26
Episode: 270/500, Score: 153.0, Epsilon: 0.26
Episode: 271/500, Score: 136.0, Epsilon: 0.26
Episode: 272/500, Score: 125.0, Epsilon: 0.26
Episode: 273/500, Score: 123.0, Epsilon: 0.25
Episode: 274/500, Score: 136.0, Epsilon: 0.25
Episode: 275/500, Score: 166.0, Epsilon: 0.25
Episode: 276/500, Score: 142.0, Epsilon: 0.25
Episode: 277/500, Score: 130.0, Epsilon: 0.25
Episode: 278/500, Score: 157.0, Epsilon: 0.25
Episode: 279/500, Score: 139.0, Epsilon: 0.25
Episode: 280/500, Score: 131.0, Epsilon: 0.25
Episode: 281/500, Score: 135.0, Epsilon: 0.24
Episode: 282/500, Score: 150.0, Epsilon: 0.24
Episode: 283/500, Score: 129.0, Epsilon: 0.24
Episode: 284/500, Score: 136.0, Epsilon: 0.24
Episode: 285/500, Score: 13.0, Epsilon: 0.24
Episode: 286/500, Score: 122.0, Epsilon: 0.24
Episode: 287/500, Score: 123.0, Epsilon: 0.24
Episode: 288/500, Score: 132.0, Epsilon: 0.24
Episode: 289/500, Score: 169.0, Epsilon: 0.23
Episode: 290/500, Score: 270.0, Epsilon: 0.23
Episode: 291/500, Score: 177.0, Epsilon: 0.23
Episode: 292/500, Score: 123.0, Epsilon: 0.23
Episode: 293/500, Score: 125.0, Epsilon: 0.23
Episode: 294/500, Score: 139.0, Epsilon: 0.23
Episode: 295/500, Score: 201.0, Epsilon: 0.23
Episode: 296/500, Score: 139.0, Epsilon: 0.23
Episode: 297/500, Score: 62.0, Epsilon: 0.23
Episode: 298/500, Score: 119.0, Epsilon: 0.22
Episode: 299/500, Score: 127.0, Epsilon: 0.22
Episode: 300/500, Score: 163.0, Epsilon: 0.22
Episode: 301/500, Score: 124.0, Epsilon: 0.22
Episode: 302/500, Score: 116.0, Epsilon: 0.22
Episode: 303/500, Score: 128.0, Epsilon: 0.22
Episode: 304/500, Score: 27.0, Epsilon: 0.22
Episode: 305/500, Score: 104.0, Epsilon: 0.22
Episode: 306/500, Score: 137.0, Epsilon: 0.22
Episode: 307/500, Score: 163.0, Epsilon: 0.21
Episode: 308/500, Score: 122.0, Epsilon: 0.21
Episode: 309/500, Score: 137.0, Epsilon: 0.21
Episode: 310/500, Score: 122.0, Epsilon: 0.21
Episode: 311/500, Score: 126.0, Epsilon: 0.21
Episode: 312/500, Score: 125.0, Epsilon: 0.21
Episode: 313/500, Score: 137.0, Epsilon: 0.21
Episode: 314/500, Score: 131.0, Epsilon: 0.21
Episode: 315/500, Score: 122.0, Epsilon: 0.21
Episode: 316/500, Score: 120.0, Epsilon: 0.21
Episode: 317/500, Score: 113.0, Epsilon: 0.2
Episode: 318/500, Score: 109.0, Epsilon: 0.2
Episode: 319/500, Score: 107.0, Epsilon: 0.2
Episode: 320/500, Score: 16.0, Epsilon: 0.2
Episode: 321/500, Score: 12.0, Epsilon: 0.2
Episode: 322/500, Score: 12.0, Epsilon: 0.2
Episode: 323/500, Score: 13.0, Epsilon: 0.2
Episode: 324/500, Score: 12.0, Epsilon: 0.2
Episode: 325/500, Score: 116.0, Epsilon: 0.2
Episode: 326/500, Score: 130.0, Epsilon: 0.2
Episode: 327/500, Score: 136.0, Epsilon: 0.19
Episode: 328/500, Score: 172.0, Epsilon: 0.19
Episode: 329/500, Score: 157.0, Epsilon: 0.19
Episode: 330/500, Score: 176.0, Epsilon: 0.19
Episode: 331/500, Score: 191.0, Epsilon: 0.19
Episode: 332/500, Score: 126.0, Epsilon: 0.19
Episode: 333/500, Score: 184.0, Epsilon: 0.19
Episode: 334/500, Score: 190.0, Epsilon: 0.19
Episode: 335/500, Score: 200.0, Epsilon: 0.19
Episode: 336/500, Score: 333.0, Epsilon: 0.19
Episode: 337/500, Score: 222.0, Epsilon: 0.18
Episode: 338/500, Score: 149.0, Epsilon: 0.18
Episode: 339/500, Score: 162.0, Epsilon: 0.18
Episode: 340/500, Score: 151.0, Epsilon: 0.18
Episode: 341/500, Score: 123.0, Epsilon: 0.18
Episode: 342/500, Score: 127.0, Epsilon: 0.18
Episode: 343/500, Score: 108.0, Epsilon: 0.18
Episode: 344/500, Score: 118.0, Epsilon: 0.18
Episode: 345/500, Score: 113.0, Epsilon: 0.18
Episode: 346/500, Score: 111.0, Epsilon: 0.18
Episode: 347/500, Score: 129.0, Epsilon: 0.18
Episode: 348/500, Score: 124.0, Epsilon: 0.17
Episode: 349/500, Score: 119.0, Epsilon: 0.17
Episode: 350/500, Score: 118.0, Epsilon: 0.17
Episode: 351/500, Score: 128.0, Epsilon: 0.17
Episode: 352/500, Score: 132.0, Epsilon: 0.17
Episode: 353/500, Score: 137.0, Epsilon: 0.17
Episode: 354/500, Score: 47.0, Epsilon: 0.17
Episode: 355/500, Score: 29.0, Epsilon: 0.17
Episode: 356/500, Score: 10.0, Epsilon: 0.17
Episode: 357/500, Score: 129.0, Epsilon: 0.17
Episode: 358/500, Score: 85.0, Epsilon: 0.17
Episode: 359/500, Score: 95.0, Epsilon: 0.17
Episode: 360/500, Score: 120.0, Epsilon: 0.16
Episode: 361/500, Score: 138.0, Epsilon: 0.16
Episode: 362/500, Score: 118.0, Epsilon: 0.16
Episode: 363/500, Score: 160.0, Epsilon: 0.16
Episode: 364/500, Score: 184.0, Epsilon: 0.16
Episode: 365/500, Score: 295.0, Epsilon: 0.16
Episode: 366/500, Score: 174.0, Epsilon: 0.16
Episode: 367/500, Score: 578.0, Epsilon: 0.16
Episode: 368/500, Score: 172.0, Epsilon: 0.16
Episode: 369/500, Score: 148.0, Epsilon: 0.16
Episode: 370/500, Score: 134.0, Epsilon: 0.16
Episode: 371/500, Score: 187.0, Epsilon: 0.16
Episode: 372/500, Score: 483.0, Epsilon: 0.15
Episode: 373/500, Score: 155.0, Epsilon: 0.15
Episode: 374/500, Score: 162.0, Epsilon: 0.15
Episode: 375/500, Score: 158.0, Epsilon: 0.15
Episode: 376/500, Score: 166.0, Epsilon: 0.15
Episode: 377/500, Score: 164.0, Epsilon: 0.15
Episode: 378/500, Score: 151.0, Epsilon: 0.15
Episode: 379/500, Score: 164.0, Epsilon: 0.15
Episode: 380/500, Score: 177.0, Epsilon: 0.15
Episode: 381/500, Score: 158.0, Epsilon: 0.15
Episode: 382/500, Score: 180.0, Epsilon: 0.15
Episode: 383/500, Score: 167.0, Epsilon: 0.15
Episode: 384/500, Score: 172.0, Epsilon: 0.15
Episode: 385/500, Score: 146.0, Epsilon: 0.15
Episode: 386/500, Score: 48.0, Epsilon: 0.14
Episode: 387/500, Score: 159.0, Epsilon: 0.14
Episode: 388/500, Score: 197.0, Epsilon: 0.14
Episode: 389/500, Score: 173.0, Epsilon: 0.14
Episode: 390/500, Score: 210.0, Epsilon: 0.14
Episode: 391/500, Score: 170.0, Epsilon: 0.14
Episode: 392/500, Score: 166.0, Epsilon: 0.14
Episode: 393/500, Score: 165.0, Epsilon: 0.14
Episode: 394/500, Score: 229.0, Epsilon: 0.14
Episode: 395/500, Score: 273.0, Epsilon: 0.14
Episode: 396/500, Score: 295.0, Epsilon: 0.14
Episode: 397/500, Score: 1001.0, Epsilon: 0.14
Episode: 398/500, Score: 1001.0, Epsilon: 0.14
Episode: 399/500, Score: 1001.0, Epsilon: 0.14
Episode: 400/500, Score: 1001.0, Epsilon: 0.13
Episode: 401/500, Score: 1001.0, Epsilon: 0.13
Episode: 402/500, Score: 1001.0, Epsilon: 0.13
Episode: 403/500, Score: 1001.0, Epsilon: 0.13
Episode: 404/500, Score: 429.0, Epsilon: 0.13
Episode: 405/500, Score: 1001.0, Epsilon: 0.13
Episode: 406/500, Score: 1001.0, Epsilon: 0.13
Episode: 407/500, Score: 1001.0, Epsilon: 0.13
Episode: 408/500, Score: 1001.0, Epsilon: 0.13
Episode: 409/500, Score: 1001.0, Epsilon: 0.13
Episode: 410/500, Score: 1001.0, Epsilon: 0.13
Episode: 411/500, Score: 1001.0, Epsilon: 0.13
Episode: 412/500, Score: 1001.0, Epsilon: 0.13
Episode: 413/500, Score: 1001.0, Epsilon: 0.13
Episode: 414/500, Score: 1001.0, Epsilon: 0.13
Episode: 415/500, Score: 1001.0, Epsilon: 0.12
Episode: 416/500, Score: 1001.0, Epsilon: 0.12
Episode: 417/500, Score: 1001.0, Epsilon: 0.12
Episode: 418/500, Score: 657.0, Epsilon: 0.12
Episode: 419/500, Score: 169.0, Epsilon: 0.12
Episode: 420/500, Score: 643.0, Epsilon: 0.12
Episode: 421/500, Score: 1001.0, Epsilon: 0.12
Episode: 422/500, Score: 1001.0, Epsilon: 0.12
Episode: 423/500, Score: 628.0, Epsilon: 0.12
Episode: 424/500, Score: 1001.0, Epsilon: 0.12
Episode: 425/500, Score: 1001.0, Epsilon: 0.12
Episode: 426/500, Score: 1001.0, Epsilon: 0.12
Episode: 427/500, Score: 1001.0, Epsilon: 0.12
Episode: 428/500, Score: 1001.0, Epsilon: 0.12
Episode: 429/500, Score: 1001.0, Epsilon: 0.12
Episode: 430/500, Score: 1001.0, Epsilon: 0.12
Episode: 431/500, Score: 80.0, Epsilon: 0.12
Episode: 432/500, Score: 1001.0, Epsilon: 0.11
Episode: 433/500, Score: 17.0, Epsilon: 0.11
Episode: 434/500, Score: 18.0, Epsilon: 0.11
Episode: 435/500, Score: 17.0, Epsilon: 0.11
Episode: 436/500, Score: 10.0, Epsilon: 0.11
Episode: 437/500, Score: 224.0, Epsilon: 0.11
Episode: 438/500, Score: 1001.0, Epsilon: 0.11
Episode: 439/500, Score: 1001.0, Epsilon: 0.11
Episode: 440/500, Score: 1001.0, Epsilon: 0.11
Episode: 441/500, Score: 463.0, Epsilon: 0.11
Episode: 442/500, Score: 140.0, Epsilon: 0.11
Episode: 443/500, Score: 166.0, Epsilon: 0.11
Episode: 444/500, Score: 331.0, Epsilon: 0.11
Episode: 445/500, Score: 208.0, Epsilon: 0.11
Episode: 446/500, Score: 234.0, Epsilon: 0.11
Episode: 447/500, Score: 136.0, Epsilon: 0.11
Episode: 448/500, Score: 199.0, Epsilon: 0.11
Episode: 449/500, Score: 167.0, Epsilon: 0.11
Episode: 450/500, Score: 143.0, Epsilon: 0.1
Episode: 451/500, Score: 206.0, Epsilon: 0.1
Episode: 452/500, Score: 143.0, Epsilon: 0.1
Episode: 453/500, Score: 95.0, Epsilon: 0.1
Episode: 454/500, Score: 185.0, Epsilon: 0.1
Episode: 455/500, Score: 216.0, Epsilon: 0.1
Episode: 456/500, Score: 260.0, Epsilon: 0.1
Episode: 457/500, Score: 97.0, Epsilon: 0.1
Episode: 458/500, Score: 189.0, Epsilon: 0.1
Episode: 459/500, Score: 260.0, Epsilon: 0.1
Episode: 460/500, Score: 230.0, Epsilon: 0.1
Episode: 461/500, Score: 1001.0, Epsilon: 0.099
Episode: 462/500, Score: 192.0, Epsilon: 0.099
Episode: 463/500, Score: 1001.0, Epsilon: 0.098
Episode: 464/500, Score: 1001.0, Epsilon: 0.098
Episode: 465/500, Score: 202.0, Epsilon: 0.097
Episode: 466/500, Score: 154.0, Epsilon: 0.097
Episode: 467/500, Score: 30.0, Epsilon: 0.096
Episode: 468/500, Score: 15.0, Epsilon: 0.096
Episode: 469/500, Score: 19.0, Epsilon: 0.095
Episode: 470/500, Score: 15.0, Epsilon: 0.095
Episode: 471/500, Score: 16.0, Epsilon: 0.094
Episode: 472/500, Score: 138.0, Epsilon: 0.094
Episode: 473/500, Score: 147.0, Epsilon: 0.093
Episode: 474/500, Score: 138.0, Epsilon: 0.093
Episode: 475/500, Score: 1001.0, Epsilon: 0.092
Episode: 476/500, Score: 159.0, Epsilon: 0.092
Episode: 477/500, Score: 150.0, Epsilon: 0.092
Episode: 478/500, Score: 1001.0, Epsilon: 0.091
Episode: 479/500, Score: 1001.0, Epsilon: 0.091
Episode: 480/500, Score: 1001.0, Epsilon: 0.09
Episode: 481/500, Score: 137.0, Epsilon: 0.09
Episode: 482/500, Score: 14.0, Epsilon: 0.089
Episode: 483/500, Score: 124.0, Epsilon: 0.089
Episode: 484/500, Score: 1001.0, Epsilon: 0.088
Episode: 485/500, Score: 1001.0, Epsilon: 0.088
Episode: 486/500, Score: 1001.0, Epsilon: 0.088
Episode: 487/500, Score: 116.0, Epsilon: 0.087
Episode: 488/500, Score: 104.0, Epsilon: 0.087
Episode: 489/500, Score: 115.0, Epsilon: 0.086
Episode: 490/500, Score: 112.0, Epsilon: 0.086
Episode: 491/500, Score: 108.0, Epsilon: 0.085
Episode: 492/500, Score: 104.0, Epsilon: 0.085
Episode: 493/500, Score: 107.0, Epsilon: 0.084
Episode: 494/500, Score: 109.0, Epsilon: 0.084
Episode: 495/500, Score: 107.0, Epsilon: 0.084
Episode: 496/500, Score: 102.0, Epsilon: 0.083
